# Down sampled to 2000 coordinates
X,Y,Z
36382.29656330076,-22820.12016429705,-4865.581812011831
12397.90182570303,-4852.610629342344,-2555.865340480372
46182.01854088411,10380.554232025435,-7192.58502325971
7753.227485297587,4767.717541264757,-3560.026056194612
13495.290957836389,-844.6846505276695,524.2199935017886
26284.353769150526,-8663.084313879483,4809.387977095138
15150.250805287656,-2253.5470673589566,-7794.312331412426
27026.62626613952,-3224.1262485566663,-2694.6108629763653
25846.745320789647,1624.3000639739976,-2896.8381774096983
23210.428225140964,3227.168682456117,9262.959207261563
16922.390430955104,6917.921940869942,3214.4489781074294
8216.562185862851,-710.3391604566062,-7624.397179838131
31044.46977090833,17390.66428096866,296.80283615694134
9581.111211520329,-1012.2582619086226,-8913.43217008517
8887.15562847893,3364.157676463412,-8501.91377073814
18295.6503807254,-816.098398660604,1176.6022967008346
10174.18647718775,-5552.7218334217305,-3622.619995045168
22239.11629529425,12619.003945926208,2933.142196607454
51383.20305528997,13087.752424124246,-2905.333728264167
13467.099769204176,-7498.6572340657585,-5552.7199084808935
12880.069323399634,-5148.121117663093,-12398.425144495392
16750.506073926703,-4890.993702289114,-848.5061288488405
7941.439715039017,514.0014318250848,-2476.790965163149
11143.852713195694,1394.6410013131692,-6363.463458746039
10964.173710474875,5701.222913241347,-2805.890051353355
82844.75363816012,-6393.390303651991,-13717.890458140671
16062.412102822773,-3463.9357915001488,-2682.9011437663016
12325.90545778469,4876.799429919894,-1958.328864399732
18212.17689753493,-727.0619394076484,-13988.615426420163
17614.921695039895,6575.641832615307,-8681.092604794694
9454.948950316077,-2554.086971237265,-6625.623604787509
21068.978142932792,-458.04774843988616,-6000.251168673584
17337.662859756485,-7340.664924037167,-1497.2709579806476
8993.430409274033,4979.823090964546,-2978.860697771287
25850.59997331867,4306.873912582895,-662.099714345156
8470.745414741194,-1709.3332731299658,-5185.856255742909
46996.8089656963,8659.691604298192,-5973.775569579088
34919.477749883496,-19776.297827648672,-3235.2300360730364
20395.81821927884,9859.841253860366,-11865.259341768862
23528.68892449232,-15447.900040541912,-4967.944229821804
62526.284669131564,-1906.096422287296,-19699.2678900892
21303.835258524738,-8151.804203135118,-8057.3713221986545
8060.367792012011,139.0975686483587,-4987.102990522028
12779.12757228782,3403.962326408995,2520.487889190787
19662.86503310081,-2543.4784143836982,-7850.120012515204
15980.522921131194,-5224.513583207803,-2322.169060228416
13237.985131477462,1423.2962640920518,2597.8297979374624
17342.84196134196,-1789.257902888838,-2784.354089864248
14724.01238681314,-6840.818822614669,-6591.583151825075
34962.67565002499,12296.716356571304,2422.7716949143423
23553.24893771287,13610.819956447567,-2505.994759354989
12903.31680100183,6090.895809479922,862.3001921942695
17140.892928578876,-1399.1195725909547,-11704.980755570155
32852.279734503834,-620.6527668484297,-5035.890210252381
40129.281373286816,7638.883286162674,-12080.175310045366
29678.470433886283,5151.522089955406,-1346.938325971627
14859.98897232864,-9878.150422749675,-17976.547051442565
12077.230410808614,-5629.346377349298,-4534.931979845977
15459.382504488882,520.8256091873571,-7338.803769707461
13897.468012518866,-5777.748805043355,-2873.394191603385
26246.57116264297,10760.530303184132,4214.982547663616
30664.241997029643,5637.437840434989,-5438.95555214452
18141.4283506879,-7912.22769948871,-104.7759316197705
34928.96917687792,11355.079665638172,-8172.999322235682
14808.684769668773,8194.556353626844,-7530.311484007719
31222.779883816067,-546.674018538761,-3423.1043924339283
15046.260061501443,-8902.59592694738,-5697.254845775575
40269.48714367582,-6296.608813796262,4738.408880113898
113464.06301609462,12321.547788082918,-10661.338829398088
33139.30755356594,-191.81361139556304,-4848.53333539013
56020.53929342624,11287.724838654589,1182.9944790327595
31082.576569454195,18743.682666386885,-8211.770689882589
